EURAL	EURAL (versie 2014)
040101	04 01 01 - déchets d'écharnage et refentes
040102	04 01 02 - résidus de pelanage
040103*	04 01 03* - déchets de dégraissage contenant des solvants sans phase liquide
040104	04 01 04 - liqueur de tannage contenant du chrome
040105	04 01 05 - liqueur de tannage sans chrome
040106	04 01 06 - boues, notamment provenant du traitement in situ des effluents, contenant du chrome
040107	04 01 07 - boues, notamment provenant du traitement in situ des effluents, sans chrome
040108	04 01 08 - déchets de cuir tanné (refentes sur bleu, dérayures, échantillonnages, poussières de ponçage), contenant du chrome
040109	04 01 09 - déchets provenant de l'habillage et des finitions
040199	04 01 99 - déchets non spécifiés ailleurs
040209	04 02 09 - matériaux composites (textile imprégné, élastomère, plastomère)
040210	04 02 10 - matières organiques issues de produits naturels (par exemple graisse, cire)
040214*	04 02 14* - déchets provenant des finitions contenant des solvants organiques
040215	04 02 15 - déchets provenant des finitions autres que ceux visés à la rubrique 04 02 14
040216*	04 02 16* - teintures et pigments contenant des substances dangereuses
040217	04 02 17 - teintures et pigments autres que ceux visés à la rubrique 04 02 16
040219*	04 02 19* - boues provenant du traitement in situ des effluents contenant des substances dangereuses
040220	04 02 20 - boues provenant du traitement in situ des effluents autres que celles visées à la rubrique 04 02 19
040221	04 02 21 - fibres textiles non ouvrées
040222	04 02 22 - fibres textiles ouvrées
040299	04 02 99 - déchets non spécifiés ailleurs
050102*	05 01 02* - boues de dessalage
050103*	05 01 03* - boues de fond de cuves
050104*	05 01 04* - boues d'alkyles acides
050105*	05 01 05* - hydrocarbures accidentellement répandus
050106*	05 01 06* - boues contenant des hydrocarbures provenant des opérations de maintenance de l'installation ou des équipements
050107*	05 01 07* - goudrons acides
050108*	05 01 08* - autres goudrons
050109*	05 01 09* - boues provenant du traitement in situ des effluents contenant des substances dangereuses
050110	05 01 10 - boues provenant du traitement in situ des effluents autres que celles visées à la rubrique 05 01 09
050111*	05 01 11* - déchets provenant du nettoyage d'hydrocarbures avec des bases
050112*	05 01 12* - hydrocarbures contenant des acides
050113	05 01 13 - boues du traitement de l'eau d'alimentation des chaudières
050114	05 01 14 - déchets provenant des colonnes de refroidissement
050115*	05 01 15* - argiles de filtration usées
050116	05 01 16 - déchets contenant du soufre provenant de la désulfuration du pétrole
050117	05 01 17 - mélanges bitumineux
050199	05 01 99 - déchets non spécifiés ailleurs
050601*	05 06 01* - goudrons acides
050603*	05 06 03* - autres goudrons
050604	05 06 04 - déchets provenant des colonnes de refroidissement
050699	05 06 99 - déchets non spécifiés ailleurs
050701*	05 07 01* - déchets contenant du mercure
050702	05 07 02 - déchets contenant du soufre
050799	05 07 99 - déchets non spécifiés ailleurs
060101*	06 01 01* - acide sulfurique et acide sulfureux
060102*	06 01 02* - acide chlorhydrique
060103*	06 01 03* - acide fluorhydrique
060104*	06 01 04* - acide phosphorique et acide phosphoreux
060105*	06 01 05* - acide nitrique et acide nitreux
060106*	06 01 06* - autres acides
060199	06 01 99 - déchets non spécifiés ailleurs
060201*	06 02 01* - hydroxyde de calcium
060203*	06 02 03* - hydroxyde d'ammonium
060204*	06 02 04* - hydroxyde de sodium et hydroxyde de potassium
060205*	06 02 05* - autres bases
060299	06 02 99 - déchets non spécifiés ailleurs
060311*	06 03 11* - sels et solutions contenant des cyanures
060313*	06 03 13* - sels et solutions contenant des métaux lourds
060314	06 03 14 - sels solides et solutions autres que ceux visés aux rubriques 06 03 11 et 06 03 13
060315*	06 03 15* - oxydes métalliques contenant des métaux lourds
060316	06 03 16 - oxydes métalliques autres que ceux visés à la rubrique 06 03 15
060399	06 03 99 - déchets non spécifiés ailleurs
060403*	06 04 03* - déchets contenant de l'arsenic
060404*	06 04 04* - déchets contenant du mercure
060405*	06 04 05* - déchets contenant d'autres métaux lourds
060499	06 04 99 - déchets non spécifiés ailleurs
060502*	06 05 02* - boues provenant du traitement in situ des effluents contenant des substances dangereuses
060503	06 05 03 - boues provenant du traitement in situ des effluents autres que celles visées à la rubrique 06 05 02
060602*	06 06 02* - déchets contenant des sulfures dangereux
060603	06 06 03 - déchets contenant des sulfures autres que ceux visés à la rubrique 06 06 02
060699	06 06 99 - déchets non spécifiés ailleurs
060701*	06 07 01* - déchets contenant de l'amiante provenant de l'électrolyse
060702*	06 07 02* - déchets de charbon actif utilisé pour la production du chlore
060703*	06 07 03* - boues de sulfate de baryum contenant du mercure
060704*	06 07 04* - solutions et acides, par exemple acide de contact
060799	06 07 99 - déchets non spécifiés ailleurs
060802*	06 08 02* - déchets contenant des chlorosilanes dangereux
060899	06 08 99 - déchets non spécifiés ailleurs
060902	06 09 02 - scories phosphoriques
060903*	06 09 03* - déchets de réactions basées sur le calcium contenant des substances dangereuses ou contaminées par de telles substances
060904	06 09 04 - déchets de réactions basées sur le calcium autres que ceux visés à la rubrique 06 09 03
060999	06 09 99 - déchets non spécifiés ailleurs
061002*	06 10 02* - déchets contenant des substances dangereuses
061099	06 10 99 - déchets non spécifiés ailleurs
061101	06 11 01 - déchets de réactions basées sur le calcium provenant de la production de dioxyde de titane
061199	06 11 99 - déchets non spécifiés ailleurs
061301*	06 13 01* - produits phytosanitaires inorganiques, agents de protection du bois et autres biocides
061302*	06 13 02* - charbon actif usé (sauf rubrique 06 07 02)
061303	06 13 03 - noir de carbone
061304*	06 13 04* - déchets provenant de la transformation de l'amiante
061305*	06 13 05* - suies
061399	06 13 99 - déchets non spécifiés ailleurs
070101*	07 01 01* - eaux de lavage et liqueurs mères aqueuses
070103*	07 01 03* - solvants, liquides de lavage et liqueurs mères organiques halogénés
070104*	07 01 04* - autres solvants, liquides de lavage et liqueurs mères organiques
070107*	07 01 07* - résidus de réaction et résidus de distillation halogénés
070108*	07 01 08* - autres résidus de réaction et résidus de distillation
070109*	07 01 09* - gâteaux de filtration et absorbants usés halogénés
070110*	07 01 10* - autres gâteaux de filtration et absorbants usés
070111*	07 01 11* - boues provenant du traitement in situ des effluents contenant des substances dangereuses
070112	07 01 12 - boues provenant du traitement in situ des effluents autres que celles visées à la rubrique 07 01 11
070199	07 01 99 - déchets non spécifiés ailleurs
070201*	07 02 01* - eaux de lavage et liqueurs mères aqueuses
070203*	07 02 03* - solvants, liquides de lavage et liqueurs mères organiques halogénés
070204*	07 02 04* - autres solvants, liquides de lavage et liqueurs mères organiques
070207*	07 02 07* - résidus de réaction et résidus de distillation halogénés
070208*	07 02 08* - autres résidus de réaction et résidus de distillation
070209*	07 02 09* - gâteaux de filtration et absorbants usés halogénés
070210*	07 02 10* - autres gâteaux de filtration et absorbants usés
070211*	07 02 11* - boues provenant du traitement in situ des effluents contenant des substances dangereuses
070212	07 02 12 - boues provenant du traitement in situ des effluents autres que celles visées à la rubrique 07 02 11
070213	07 02 13 - déchets plastiques
070214*	07 02 14* - déchets provenant d'additifs contenant des substances dangereuses
070215	07 02 15 - déchets provenant d'additifs autres que ceux visés à la rubrique 07 02 14
070216*	07 02 16* - déchets contenant des silicones dangereux
070217	07 02 17 - déchets contenant des silicones autres que ceux visés à la rubrique 07 02 16
070299	07 02 99 - déchets non spécifiés ailleurs
070301*	07 03 01* - eaux de lavage et liqueurs mères aqueuses
070303*	07 03 03* - solvants, liquides de lavage et liqueurs mères organiques halogénés
070304*	07 03 04* - autres solvants, liquides de lavage et liqueurs mères organiques
070307*	07 03 07* - résidus de réaction et résidus de distillation halogénés
070308*	07 03 08* - autres résidus de réaction et résidus de distillation
070309*	07 03 09* - gâteaux de filtration et absorbants usés halogénés
070310*	07 03 10* - autres gâteaux de filtration et absorbants usés
070311*	07 03 11* - boues provenant du traitement in situ des effluents contenant des substances dangereuses
070312	07 03 12 - boues provenant du traitement in situ des effluents autres que celles visées à la rubrique 07 03 11
070399	07 03 99 - déchets non spécifiés ailleurs
070401*	07 04 01* - eaux de lavage et liqueurs mères aqueuses
070403*	07 04 03* - solvants, liquides de lavage et liqueurs mères organiques halogénés
070404*	07 04 04* - autres solvants, liquides de lavage et liqueurs mères organiques
070407*	07 04 07* - résidus de réaction et résidus de distillation halogénés
070408*	07 04 08* - autres résidus de réaction et résidus de distillation
070409*	07 04 09* - gâteaux de filtration et absorbants usés halogénés
070410*	07 04 10* - autres gâteaux de filtration et absorbants usés
070411*	07 04 11* - boues provenant du traitement in situ des effluents contenant des substances dangereuses
070412	07 04 12 - boues provenant du traitement in situ des effluents autres que celles visées à la rubrique 07 04 11
070413*	07 04 13* - déchets solides contenant des substances dangereuses
070499	07 04 99 - déchets non spécifiés ailleurs
070501*	07 05 01* - eaux de lavage et liqueurs mères aqueuses
070503*	07 05 03* - solvants, liquides de lavage et liqueurs mères organiques halogénés
070504*	07 05 04* - autres solvants, liquides de lavage et liqueurs mères organiques
070507*	07 05 07* - résidus de réaction et résidus de distillation halogénés
070508*	07 05 08* - autres résidus de réaction et résidus de distillation
070509*	07 05 09* - gâteaux de filtration et absorbants usés halogénés
070510*	07 05 10* - autres gâteaux de filtration et absorbants usés
070511*	07 05 11* - boues provenant du traitement in situ des effluents contenant des substances dangereuses
070512	07 05 12 - boues provenant du traitement in situ des effluents autres que celles visées à la rubrique 07 05 11
070513*	07 05 13* - déchets solides contenant des substances dangereuses
070514	07 05 14 - déchets solides autres que ceux visés à la rubrique 07 05 13
070599	07 05 99 - déchets non spécifiés ailleurs
070601*	07 06 01* - eaux de lavage et liqueurs mères aqueuses
070603*	07 06 03* - solvants, liquides de lavage et liqueurs mères organiques halogénés
070604*	07 06 04* - autres solvants, liquides de lavage et liqueurs mères organiques
070607*	07 06 07* - résidus de réaction et résidus de distillation halogénés
070608*	07 06 08* - autres résidus de réaction et résidus de distillation
070609*	07 06 09* - gâteaux de filtration et absorbants usés halogénés
070610*	07 06 10* - autres gâteaux de filtration et absorbants usés
070611*	07 06 11* - boues provenant du traitement in situ des effluents contenant des substances dangereuses
070612	07 06 12 - boues provenant du traitement in situ des effluents autres que celles visées à la rubrique 07 06 11
070699	07 06 99 - déchets non spécifiés ailleurs
070701*	07 07 01* - eaux de lavage et liqueurs mères aqueuses
070703*	07 07 03* - solvants, liquides de lavage et liqueurs mères organiques halogénés
070704*	07 07 04* - autres solvants, liquides de lavage et liqueurs mères organiques
070707*	07 07 07* - résidus de réaction et résidus de distillation halogénés
070708*	07 07 08* - autres résidus de réaction et résidus de distillation
070709*	07 07 09* - gâteaux de filtration et absorbants usés halogénés
070710*	07 07 10* - autres gâteaux de filtration et absorbants usés
070711*	07 07 11* - boues provenant du traitement in situ des effluents contenant des substances dangereuses
070712	07 07 12 - boues provenant du traitement in situ des effluents autres que celles visées à la rubrique 07 07 11
070799	07 07 99 - déchets non spécifiés ailleurs
080111*	08 01 11* - déchets de peintures et vernis contenant des solvants organiques ou d'autres substances dangereuses
080112	08 01 12 - déchets de peintures ou vernis autres que ceux visés à la rubrique 08 01 11
080113*	08 01 13* - boues provenant de peintures ou vernis contenant des solvants organiques ou autres substances dangereuses
080114	08 01 14 - boues provenant de peintures ou vernis autres que celles visées à la rubrique 08 01 13
080115*	08 01 15* - boues aqueuses contenant de la peinture ou du vernis contenant des solvants organiques ou autres substances dangereuses
080116	08 01 16 - boues aqueuses contenant de la peinture ou du vernis autres que celles visées à la rubrique 08 01 15
080117*	08 01 17* - déchets provenant du décapage de peintures ou vernis contenant des solvants organiques ou autres substances dangereuses
080118	08 01 18 - déchets provenant du décapage de peintures ou vernis autres que ceux visés à la rubrique 08 01 17
080119*	08 01 19* - boues aqueuses contenant de la peinture ou du vernis contenant des solvants organiques ou autres substances dangereuses
080120	08 01 20 - suspensions aqueuses contenant de la peinture ou du vernis autres que celles visées à la rubrique 08 01 19
080121*	08 01 21* - déchets de décapants de peintures ou vernis
080199	08 01 99 - déchets non spécifiés ailleurs
080201	08 02 01 - déchets de produits de revêtement en poudre
080202	08 02 02 - boues aqueuses contenant des matériaux céramiques
080203	08 02 03 - suspensions aqueuses contenant des matériaux céramiques
080299	08 02 99 - déchets non spécifiés ailleurs
080307	08 03 07 - boues aqueuses contenant de l'encre
080308	08 03 08 - déchets liquides aqueux contenant de l'encre
080312*	08 03 12* - déchets d'encres contenant des substances dangereuses
080313	08 03 13 - déchets d'encres autres que ceux visés à la rubrique 08 03 12
080314*	08 03 14* - boues d'encre contenant des substances dangereuses
080315	08 03 15 - boues d'encre autres que celles visées à la rubrique 08 03 14
080316*	08 03 16* - déchets de solution de morsure
080317*	08 03 17* - déchets de toner d'impression contenant des substances dangereuses
080318	08 03 18 - déchets de toner d'impression autres que ceux visés à la rubrique 08 03 17
080319*	08 03 19* - huiles dispersées
080399	08 03 99 - déchets non spécifiés ailleurs
080409*	08 04 09* - déchets de colles et mastics contenant des solvants organiques ou d'autres substances dangereuses
080410	08 04 10 - déchets de colles et mastics autres que ceux visés à la rubrique 08 04 09
080411*	08 04 11* - boues de colles et mastics contenant des solvants organiques ou d'autres substances dangereuses
080412	08 04 12 - boues de colles et mastics autres que celles visées à la rubrique 08 04 11
080413*	08 04 13* - boues aqueuses contenant des colles ou mastics contenant des solvants organiques ou d'autres substances dangereuses
080414	08 04 14 - boues aqueuses contenant des colles et mastics autres que celles visées à la rubrique 08 04 13
080415*	08 04 15* - déchets liquides aqueux contenant des colles ou mastics contenant des solvants organiques ou d'autres substances dangereuses
080416	08 04 16 - déchets liquides aqueux contenant des colles ou mastics autres que ceux visés à la rubrique 08 04 15
080417*	08 04 17* - huile de résine
080499	08 04 99 - déchets non spécifiés ailleurs
080501*	08 05 01* - déchets d'isocyanates
090101*	09 01 01* - bains de développement aqueux contenant un activateur
090102*	09 01 02* - bains de développement aqueux pour plaques offset
090103*	09 01 03* - bains de développement contenant des solvants
090104*	09 01 04* - bains de fixation
090105*	09 01 05* - bains de blanchiment et bains de blanchiment/fixation
090106*	09 01 06* - déchets contenant de l'argent provenant du traitement in situ des déchets photographiques
090107	09 01 07 - pellicules et papiers photographiques contenant de l'argent ou des composés de l'argent
090108	09 01 08 - pellicules et papiers photographiques sans argent ni composés de l'argent
090110	09 01 10 - appareils photographiques à usage unique sans piles
090111*	09 01 11* - appareils photographiques à usage unique contenant des piles visées aux rubriques 16 06 01, 16 06 02 ou 16 06 03
090112	09 01 12 - appareils photographiques à usage unique contenant des piles autres que ceux visés à la rubrique 09 01 11
090113*	09 01 13* - déchets liquides aqueux provenant de la récupération in situ de l'argent autres que ceux visés à la rubrique 09 01 06
090199	09 01 99 - déchets non spécifiés ailleurs
100101	10 01 01 - mâchefers, scories et cendres sous chaudière (sauf cendres sous chaudière visées à la rubrique 10 01 04)
100102	10 01 02 - cendres volantes de charbon
100103	10 01 03 - cendres volantes de tourbe et de bois non traité
100104*	10 01 04* - cendres volantes et cendres sous chaudière d'hydrocarbures
100105	10 01 05 - déchets solides de réactions basées sur le calcium, provenant de la désulfuration des gaz de fumée
100107	10 01 07 - boues de réactions basées sur le calcium, provenant de la désulfuration des gaz de fumée
100109*	10 01 09* - acide sulfurique
100113*	10 01 13* - cendres volantes provenant d'hydrocarbures émulsifiés employés comme combustibles
100114*	10 01 14* - mâchefers, scories et cendres sous chaudière provenant de la coïncinération contenant des substances dangereuses
100115	10 01 15 - mâchefers, scories et cendres sous chaudière provenant de la coïncinération autres que ceux visés à la rubrique 10 01 14
100116*	10 01 16* - cendres volantes provenant de la coïncinération contenant des substances dangereuses
100117	10 01 17 - cendres volantes provenant de la coïncinération autres que celles visées à la rubrique 10 01 16
100118*	10 01 18* - déchets provenant de l'épuration des gaz contenant des substances dangereuses
100119	10 01 19 - déchets provenant de l'épuration des gaz autres que ceux visés aux rubriques 10 01 05, 10 01 07 et 10 01 18
100120*	10 01 20* - boues provenant du traitement in situ des effluents contenant des substances dangereuses
100121	10 01 21 - boues provenant du traitement in situ des effluents autres que celles visées à la rubrique 10 01 20
100122*	10 01 22* - boues aqueuses provenant du nettoyage des chaudières contenant des substances dangereuses
100123	10 01 23 - boues aqueuses provenant du nettoyage des chaudières autres que celles visées à la rubrique 10 01 22
100124	10 01 24 - sables provenant de lits fluidisés
100125	10 01 25 - déchets provenant du stockage et de la préparation des combustibles des centrales à charbon
100126	10 01 26 - déchets provenant de l'épuration des eaux de refroidissement
100199	10 01 99 - déchets non spécifiés ailleurs
100201	10 02 01 - déchets de laitiers de hauts fourneaux et d'aciéries
100202	10 02 02 - laitiers non traités
100207*	10 02 07* - déchets solides provenant de l'épuration des fumées contenant des substances dangereuses
100208	10 02 08 - déchets solides provenant de l'épuration des fumées autres que ceux visés à la rubrique 10 02 07
100210	10 02 10 - battitures de laminoir
100211*	10 02 11* - déchets provenant de l'épuration des eaux de refroidissement contenant des hydrocarbures
100212	10 02 12 - déchets provenant de l'épuration des eaux de refroidissement autres que ceux visés à la rubrique 10 02 11
100213*	10 02 13* - boues et gâteaux de filtration provenant de l'épuration des fumées contenant des substances dangereuses
100214	10 02 14 - boues et gâteaux de filtration provenant de l'épuration des fumées autres que ceux visés à la rubrique 10 02 13
100215	10 02 15 - autres boues et gâteaux de filtration
100299	10 02 99 - déchets non spécifiés ailleurs
100302	10 03 02 - déchets d'anodes
100304*	10 03 04* - scories provenant de la production primaire
100305	10 03 05 - déchets d'alumine
100308*	10 03 08* - scories salées de seconde fusion
100309*	10 03 09* - crasses noires de seconde fusion
100315*	10 03 15* - écumes inflammables ou émettant, au contact de l'eau, des gaz inflammables en quantités dangereuses
100316	10 03 16 - écumes autres que celles visées à la rubrique 10 03 15
100317*	10 03 17* - déchets goudronnés provenant de la fabrication des anodes
100318	10 03 18 - déchets carbonés provenant de la fabrication des anodes autres que ceux visés à la rubrique 10 03 17
100319*	10 03 19* - poussières de filtration des fumées contenant des substances dangereuses
100320	10 03 20 - poussières de filtration des fumées autres que celles visées à la rubrique 10 03 19
100321*	10 03 21* - autres fines et poussières (y compris fines de broyage de crasses) contenant des substances dangereuses
100322	10 03 22 - autres fines et poussières (y compris fines de broyage de crasses) autres que celles visées à la rubrique 10 03 21
100323*	10 03 23* - déchets solides provenant de l'épuration des fumées contenant des substances dangereuses
100324	10 03 24 - déchets solides provenant de l'épuration des fumées autres que ceux visés à la rubrique 10 03 23
100325*	10 03 25* - boues et gâteaux de filtration provenant de l'épuration des fumées contenant des substances dangereuses
100326	10 03 26 - boues et gâteaux de filtration provenant de l'épuration des fumées autres que ceux visés à la rubrique 10 03 25
100327*	10 03 27* - déchets provenant de l'épuration des eaux de refroidissement contenant des hydrocarbures
100328	10 03 28 - déchets provenant de l'épuration des eaux de refroidissement autres que ceux visés à la rubrique 10 03 27
100329*	10 03 29* - déchets provenant du traitement des scories salées et du traitement des crasses noires contenant des substances dangereuses
100330	10 03 30 - déchets provenant du traitement des scories salées et du traitement des crasses noires autres que ceux visés à la rubrique 10 03 29
100399	10 03 99 - déchets non spécifiés ailleurs
100401*	10 04 01* - scories provenant de la production primaire et secondaire
100402*	10 04 02* - crasses et écumes provenant de la production primaire et secondaire
100403*	10 04 03* - arséniate de calcium
100404*	10 04 04* - poussières de filtration des fumées
100405*	10 04 05* - autres fines et poussières
100406*	10 04 06* - déchets solides provenant de l'épuration des fumées
100407*	10 04 07* - boues et gâteaux de filtration provenant de l'épuration des fumées
100409*	10 04 09* - déchets provenant de l'épuration des eaux de refroidissement contenant des hydrocarbures
100410	10 04 10 - déchets provenant de l'épuration des eaux de refroidissement autres que ceux visés à la rubrique 10 04 09
100499	10 04 99 - déchets non spécifiés ailleurs
